what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1411699904118
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1411699904118
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1411699904119
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1411699904121
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1411699904122
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1411699904124
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1411699904125
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1411699904126
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1411699904127
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1411699904129
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411699904130
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411699904132
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411699904149
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1411699904150
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1411699904151
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1411699904152
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1411699904153
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1411699904153
os,sysinfo,,,"win32",1411699904157
arch,sysinfo,,,"x86",1411699904157
ws,sysinfo,,,"win32",1411699904157
locale,sysinfo,,,"en_US",1411699904157
processors,sysinfo,,,"2",1411699904157
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411699904158
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1411699904158
java.specification.name,sysinfo,,,"Java Platform API Specification",1411699904158
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411699904158
java.specification.version,sysinfo,,,"1.6",1411699904158
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1411699904158
java.version,sysinfo,,,"1.6.0_23",1411699904158
java.vm.info,sysinfo,,,"mixed mode",1411699904158
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411699904158
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411699904158
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411699904158
java.vm.specification.version,sysinfo,,,"1.0",1411699904158
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1411699904158
java.vm.version,sysinfo,,,"19.0-b09",1411699904158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411699920393
